X,Y
-3.3355807308310275,3.004974209788905
-3.2937624211290557,3.0014955198143687
-3.2353391401312686,2.9987913387528273
-3.188060588270957,3.0018688694054014
-3.1448122365460924,3.007483838034958
-3.105604945807865,3.0170805378018324
-3.062300447743165,3.034784356000546
-3.0255765184023256,3.0574312911736814
-2.993988877888989,3.0810622544510977
-2.9602041305583406,3.1133464245655915
-2.9312291687351753,3.1489798901599433
-2.904763164622868,3.1873006067557754
-2.8823376125026523,3.225535703434399
-2.8635721981784843,3.264218262134813
-2.84569740268426,3.307257641788869
-2.832359697229498,3.3460457576674947
-2.816481372901318,3.394390553047803
-2.805401690730778,3.4358947300367992
-2.800983956410721,3.454188721779413
-2.785760557633842,3.5235629445255143
-2.776938890476787,3.566113918310193
-2.7685110437176594,3.609184323977706
-2.761138095142832,3.653466066184842
-2.7560350203174666,3.6877650272902183
-2.749037326614067,3.735112020755392
-2.7429159150116105,3.776120160323518
-2.738443850243236,3.8104675863981115
-2.732859231641755,3.847637993446985
-2.7278769846225703,3.8836300144263194
-2.7215385384399537,3.9195959396727194
-2.7187336270291764,3.926130741930632
-2.6946632591518624,4.00083138947637
-2.6789327860925347,4.0432008214278765
-2.66055405137939,4.0795356870240935
-2.6300168496488383,4.116441601235945
-2.597914732698316,4.14328063861452
-2.5595653103445084,4.162855932468857
-2.516033232444081,4.177105586400019
-2.4656407809364906,4.181639910562397
