X,Y
-3.349934116261208,3.041395957748798
-3.303555643953342,3.0378251427281717
-3.265664544372057,3.03607780914085
-3.215502539664232,3.0420170752562288
-3.1742108166174052,3.048117157105749
-3.1318222383684233,3.06101452864557
-3.091440653090735,3.080630284249577
-3.0637313740640715,3.0968795574937946
-3.0291559994571977,3.1261945547460477
-2.9983853497949293,3.1559108555517
-2.9697914608094353,3.1904038044825342
-2.9446115433668028,3.225914182623055
-2.921369012210264,3.265572256210878
-2.9050868573669915,3.294746101929315
-2.882866399789039,3.345719921812376
-2.8678297656513334,3.3856718386619504
-2.852933417185724,3.4290616347993255
-2.8409822856029208,3.4703384728750257
-2.8288905890068055,3.5152765714057312
-2.8184105106956334,3.557735158835672
-2.8083003325320295,3.6025496501321776
-2.7996271705290297,3.6445041659509982
-2.7907488017764988,3.690043647265334
-2.7837088579277776,3.7309736149333372
-2.7775544364611737,3.7680037401244024
-2.770602893099496,3.8082711143553825
-2.7651881138386627,3.842699480230097
-2.7583129773583037,3.8794212350753052
-2.7529649058731724,3.9109376076374445
-2.7456920073436675,3.9473712349688683
-2.7351590554209766,3.9881476699112377
-2.7203826318768396,4.030355683660738
-2.7069623767434194,4.0619827238647375
-2.684426740058274,4.108698689958469
-2.6599147631637456,4.13957552071799
-2.6276139093022146,4.167136082598502
-2.588193356034069,4.183765269022055
-2.5518576251850735,4.194851075073212
-2.5273993854253987,4.198539100426524
