Time,X_desired,Y_desired,X_actual,Y_actual,dX_desired,dY_desired,dX_actual,dY_actual,V_command,Omega_command,u_w1,u_w2
0.0,-0.9698278598723398,-1.5786941636450789,-0.9698278598723398,-1.5786941636450789,0.1,0.0,0.0,0.0,0.1,0.19999999999999996,0.010000000000000002,0.0
0.5,-0.9203128297923927,-1.5761148888764551,-0.9291389565994512,-1.5928937819989257,0.09316555520816353,0.009960552268244577,0.08114472100912597,-0.028317894489102824,0.09369649555204185,0.2708066560375103,0.002084696100609608,0.005505733987981801
1.0,-0.8742150464317928,-1.5685793606308676,-0.9141673999090167,-1.6016389465824734,0.08667273779454575,0.01932938856015779,0.029987813003714434,-0.017516439047763677,0.08880196359828783,0.27781964945167303,0.009663727826805524,0.006990541355952732
1.5,-0.8313593162632485,-1.556391022998743,-0.8730480853129851,-1.6121558138673227,0.0805215477591467,0.028106508875739643,0.08227020893363268,-0.021041811551385486,0.08528596305788294,0.32885512729664684,0.003994010787525053,0.010491311129570479
2.0,-0.7915704457594682,-1.5398533200705076,-0.7886695520183804,-1.624673650680951,0.07471198510196636,0.03629191321499014,0.1687310788980529,-0.02503181826660549,0.08306012089252471,0.4336983092920159,-0.009691998753717436,0.0146144062092039
2.5,-0.7546732413931602,-1.5192696959365874,-0.7139230312402768,-1.6244717065980032,0.06924404982300472,0.04388560157790927,0.1493702491646401,0.00040355641537848227,0.08197978081054957,0.4461940579398162,-0.012087640949451875,0.014868405582394658
3.0,-0.7204925096370328,-1.4949435946874092,-0.6449577108297535,-1.6072474958007101,0.06411774192226181,0.05088757396449704,0.13796458672804407,0.03445689964492147,0.08185737604640114,0.4351507616470556,-0.014938164361306157,0.012873457543287649
3.5,-0.6888530569637943,-1.4671784604133993,-0.5826024449553391,-1.5792951455528785,0.05933306139973761,0.05729783037475345,0.124859137289426,0.05597131674789611,0.08248305002071063,0.42335556620897064,-0.01717766878981436,0.01134431987663366
4.0,-0.6595796898461534,-1.436277737204984,-0.5309954530126945,-1.5332159143241566,0.054890008255432124,0.0631163708086785,0.10303529423135883,0.09199891272257867,0.08364561716157046,0.37245966558886884,-0.01767295228093857,0.006805563520527247
4.5,-0.6324972147568182,-1.402544869152589,-0.49182900625188625,-1.4767900204100048,0.05078858248934535,0.0683431952662722,0.07832680561319827,0.11284301716609206,0.08514853169891333,0.3189990762433865,-0.016820643162878488,0.002974532935759596
5.0,-0.6074304381684968,-1.3662833003466417,-0.46810593469024797,-1.4157485472746858,0.04702878410147729,0.07297830374753451,0.04747176741789948,0.12214887975179685,0.08681900340323409,0.25605985158091,-0.013976748679467106,2.946709237817719e-05
5.5,-0.5842041665538981,-1.3277964748775677,-0.4540697626035292,-1.3517304326555604,0.04361061309182794,0.07702169625246548,0.028059312323479538,0.12797679177487734,0.08851117029986763,0.20054545732840454,-0.011458310318202046,-0.002702113774441918
6.0,-0.5626432063857298,-1.2873878368357936,-0.4506567374809868,-1.304291012170783,0.04053406946039731,0.08047337278106509,0.006838268239342232,0.09504866525922313,0.0901053523037371,0.16564700055933101,-0.007829066768368798,0.0002327882856831263
6.5,-0.5425723641367011,-1.2453608303117456,-0.45698110915536844,-1.2550995161349434,0.03779915320718538,0.08333333333333334,-0.012625180461416101,0.09819971794751128,0.09150530272953977,0.10501787820938545,-0.003516692131273114,-0.0005127698790980129
7.0,-0.5238164462795195,-1.2020188993958503,-0.46515764168781853,-1.2264044628077524,0.03540586433219217,0.08560157790927021,-0.01635071048375105,0.05738184339225109,0.09263479567455447,0.08769124446116663,-0.0006902229775757754,0.005260529792892125
7.5,-0.5062002592868939,-1.1576654881785335,-0.48564922730722787,-1.1752276605693948,0.03335420283541768,0.08727810650887574,-0.0410162243599889,0.10243615314214831,0.09343431234060025,-0.005933710083267302,0.00538193952157405,0.00024041257575886524
8.0,-0.48954860963153246,-1.1126040407502225,-0.5105644633774794,-1.1297195583202364,0.031644168716861897,0.08836291913214991,-0.049804870919966014,0.09096944343377698,0.09385818499915756,-0.061933490937158095,0.010246489338277487,0.0014508993268386881
8.5,-0.4736863037861434,-1.0671380012013425,-0.5359641107402291,-1.094981440306377,0.03027576197652483,0.0888560157790927,-0.05084943731715314,0.06954481411628508,0.09387232448061333,-0.103529934486734,0.014340300624776368,0.004715464076784203
9.0,-0.4584381482234354,-1.0215708136223207,-0.5652642017030366,-1.0597355213950126,0.02924898261440648,0.08875739644970415,-0.05859291771271803,0.07048309949290409,0.09345254629226434,-0.16455201797379446,0.01946679538067257,0.005643900472949194
9.5,-0.4436289494161165,-0.9762059221035829,-0.5971519895698846,-1.0255588393352553,0.02856383063050683,0.08806706114398422,-0.06374779258663549,0.06832358670793406,0.09258347411296755,-0.22565309975231188,0.024583466337091037,0.00690963916677225
10.0,-0.42908351383689536,-0.9313467707355559,-0.6262186942623182,-0.9941968234864134,0.02822030602482591,0.08678500986193295,-0.05809936124959828,0.06268729488251228,0.09125800572481642,-0.2728375578944589,0.02834548476998471,0.00869477677302781
10.5,-0.41462664795848,-0.8872968036086655,-0.6585500063313166,-0.9544530822903106,0.028218408797363686,0.0849112426035503,-0.06469807129868034,0.07953105633616878,0.0894773586754443,-0.35008088801404297,0.03368398384688806,0.007253646494902662
11.0,-0.4000831582535788,-0.8443594648133388,-0.6909171926476988,-0.9108100858907661,0.028558138948120194,0.08244575936883627,-0.06476198017398017,0.08732321802497359,0.08725176524337026,-0.42391380701199516,0.03841541535162204,0.006157316242128997
