Time,X_desired,Y_desired,Theta_desired,X_actual,Y_actual,Theta_actual,V_command,Omega_command
0.0,-0.1374944434312733,0.36860013188415003,1.7074083014586183,-0.1374944434312733,0.36860013188415003,1.7074083014586183,0.18000000000000002,-0.1190305796514142
0.2,-0.13996260918572123,0.3883286226505099,1.6827777309892802,-0.16481364455561903,0.5673311592802955,1.4686329586778815,-0.8686404877974424,0.03019486804816901
0.4,-0.14187083960210978,0.4074940538049152,1.6569557657008447,-0.166863557962524,0.5473359634816996,1.4747021271555634,0.04266062717491123,-0.20953327866690188
0.6000000000000001,-0.14322851885193658,0.4261077628859649,1.6299114161112525,-0.16604493143544627,0.5558287259914743,1.4327954714221829,-0.05989890810593887,-0.22120726253662343
0.8,-0.14404503110669933,0.4441810874322581,1.601620476912225,-0.16769290915502436,0.5439628363439543,1.3885540189148582,0.06432625320482727,-0.16671613649268058
1.0,-0.1443297605378957,0.4617253649823938,1.5720672512324985,-0.16536127285675276,0.556615035608408,1.355210791616322,-0.03127379498880231,-0.19823898306654741
1.2000000000000002,-0.1440920913170233,0.4787519330749711,1.5412464112498248,-0.16669928743480536,0.5505050661232972,1.3155629950030125,0.07715436350678992,-0.14561436267557393
1.4000000000000001,-0.14334140761557979,0.4952721292485891,1.5091649423824753,-0.16280343666620758,0.5654360466374607,1.2864401224678979,-0.010938173200551349,-0.16730664750375346
1.6,-0.14208709360506283,0.5112972910418466,1.4758440950572,-0.16341408615063888,0.5633467609422479,1.2531460996146508,0.08423063289746327,-0.12875753037747062
1.8,-0.14033853345697006,0.5268387559933431,1.4413212435960132,-0.15815244772409415,0.5793501087732674,1.2273945935391568,0.0033797523980937244,-0.15039605833431158
2.0,-0.13810511134279918,0.5419078616416773,1.4056515287611182,-0.15792486049953622,0.5799865937346882,1.1973153818722946,0.08770583862202792,-0.12543143230866555
2.2,-0.13539621143404784,0.5565159455254483,1.3689091425994606,-0.15152481434321385,0.5963185248615535,1.1722290954105614,0.013879166473074876,-0.14970667415888342
2.4000000000000004,-0.13222121790221364,0.570674345183255,1.331188105791492,-0.15044751822774638,0.5988767827764424,1.1422877605787847,0.08855908726012734,-0.13226592918906094
2.6,-0.12858951491879428,0.5843943981536968,1.292602393181787,-0.1431247957194606,0.6149066602075994,1.1159668406701615,0.0224828580986096,-0.15735062799665517
2.8000000000000003,-0.12451048665528738,0.5976874419753726,1.2532852861624555,-0.14114941070173662,0.6189460921432854,1.0844967150708305,0.08741170836028975,-0.14234056011780624
3.0,-0.11999351728319066,0.6105648141868812,1.213387872735459,-0.1329789037186303,0.6344016764408003,1.0560286030472692,0.028481931938053068,-0.16545515733336685
3.2,-0.11504799097400172,0.6230378523268222,1.1730766760098872,-0.1301743864998396,0.6393598516138314,1.0229375715805957,0.08613910969820529,-0.14989678376119736
3.4000000000000004,-0.10968329189921822,0.635117893933794,1.132530464557614,-0.12120109337212384,0.6540662399953501,0.9929582148283562,0.03331882368905569,-0.17010026035530393
3.6,-0.10390880423033784,0.6468162765463961,1.091936374945121,-0.1175612496542735,0.6596481122789589,0.9589381627572955,0.08453245421431799,-0.15387822600390022
3.8000000000000003,-0.09773391213885818,0.6581443377032277,1.0514855470658115,-0.10785033865132371,0.6734874634238869,0.9281625175565155,0.03713517381792046,-0.17057099714760912
4.0,-0.09116799979627697,0.6691134149428871,1.0113685255377547,-0.10339927263968651,0.6794329538779651,0.8940483181269936,0.08277424386333834,-0.1539100616910524
4.2,-0.08422045137409184,0.679734845803974,0.9717707065089077,-0.0930834540508523,0.6922748044504,0.8634202158504741,0.041031267836493565,-0.1669696691745649
4.4,-0.07690065104380038,0.6900199678250873,0.9328681041494418,-0.08775068851174915,0.6985121283409605,0.8300262820155612,0.08072517811734542,-0.15071054426138988
4.6000000000000005,-0.06921798297690036,0.699980118544826,0.8948236758053222,-0.07685510844979417,0.7104263429771258,0.7998841731632832,0.043813084951056645,-0.1597463977942961
4.800000000000001,-0.061181831344889304,0.7096266355017892,0.8577843853799009,-0.07074940636438405,0.7167115524852774,0.767934893604424,0.07960365460098001,-0.14365539727010015
5.0,-0.052801580319265,0.7189708562345759,0.8218791108577371,-0.05929688062023257,0.7277709072183906,0.739203814150404,0.0463353257776192,-0.1498109367792934
5.2,-0.044086614071525004,0.728024118281785,0.7872174252403724,-0.052448471438131805,0.7340141266019492,0.7092416267945454,0.07856167081396472,-0.13455476411632372
5.4,-0.03504631677316704,0.7367977591820157,0.7538892107922102,-0.04052507252404118,0.7442469171880373,0.6823306739712807,0.04861069744791377,-0.13821427402218078
5.6000000000000005,-0.025690072595688715,0.7453031164738674,0.7219650118751629,-0.03301739752596419,0.7503470791051925,0.6548260334408667,0.07842149793417418,-0.1240468142007723
5.800000000000001,-0.016027265710587678,0.7535515276959385,0.6914969956290912,-0.020515133989451616,0.7599469115235116,0.6298926237865115,0.05002623596059094,-0.125810659433497
6.0,-0.006067280289361682,0.7615543303868286,0.6625203726538845,-0.012429986144093118,0.7658405823400811,0.6047304918998121,0.07821555898103474,-0.1120538273951327
6.2,0.004180499496491762,0.7693228620851362,0.6350551292722039,0.0004389035243052043,0.7747343231374745,0.5823197264207856,0.05276866387975,-0.11242748976715938
6.4,0.014706689475474974,0.7768684603294608,0.6091079349034646,0.00925326647134837,0.7805384838299393,0.5598342284673536,0.0775947057385173,-0.10035467655020101
6.6000000000000005,0.02550190547609025,0.7842024626584013,0.584674108053201,0.02240313502448904,0.7887797514133276,0.5397632931573134,0.05486873360734956,-0.09939403622988198
